H: S:
/* Non-Breeder=1 	*/
/* Breeder=2		*/
000000100000002002  1 
000000100000002002  1 
000000100000002002  1 
000000100000002002  1 
000000100000002002  1 
000000100000002002  1 
000000100000002002  1 
000000100000002002  1 
000000100000002002  1 
000000100000002002  1 
000000100000002002  1 
000000100000002002  1 
000000100000002002  1 
000000100000002002  1 
000000100000002002  1 
000000100000002002  1 
000000100000002002  1 
000000100000002002  1 
000000100000002002  1 
000000100000002020  1 
000000100000002020  1 
000000100000002020  1 
000000100000002020  1 
000000100000002020  1 
000000100000002020  1 
000000100000002020  1 
000000100000002022  1 
000000100000002022  1 
000000100000002022  1 
000000100000002022  1 
000000100000002200  1 
000000100000002200  1 
000000100000002200  1 
000000100000002200  1 
000000100000002200  1 
000000100000002202  1 
000000100000002202  1 
000000100000002202  1 
000000100000002202  1 
000000100000002222  1 
000000100000002222  1 
000000100000020000  1 
000000100000020000  1 
000000100000020000  1 
000000100000020000  1 
000000100000020020  1 
000000100000020022  1 
000000100000020200  1 
000000100000020202  1 
000000100000020220  1 
000000100000020220  1 
000000100000020222  1 
000000100000022000  1 
000000100000022000  1 
000000100000022000  1 
000000100000022000  1 
000000100000022000  1 
000000100000022000  1 
000000100000022002  1 
000000100000022002  1 
000000100000022002  1 
000000100000022020  1 
000000100000022020  1 
000000100000022020  1 
000000100000022022  1 
000000100000022200  1 
000000100000022202  1 
000000100000022202  1 
000000100000022202  1 
000000100000022202  1 
000000100000022202  1 
000000100000022220  1 
000000100000022220  1 
000000100000022222  1 
000000100000200022  1 
000000100000202202  1 
000000100000220020  1 
000000100000220220  1 
000000100000222200  1 
000000100000222220  1 
000000100000222222  1 
000000100002000000  1 
000000100002000022  1 
000000100002002000  1 
000000100002002020  1 
000000100002002222  1 
000000100002020020  1 
000000100002022002  1 
000000100002220020  1 
000000100020000000  1 
000000100020000000  1 
000000100020000020  1 
000000100020000222  1 
000000100020002200  1 
000000100020020020  1 
000000100020020200  1 
000000100020022002  1 
000000100022002022  1 
000000100022022202  1 
000000100200000000  1 
000000100200000000  1 
000000100200022002  1 
000100000220000000  1 
000001000000000002  1 
000001000000000002  1 
000001000000000002  1 
000001000000000002  1 
000001000000000002  1 
000001000000000002  1 
000001000000000002  1 
000001000000000002  1 
000001000000000002  1 
000001000000000002  1 
000001000000000002  1 
000001000000000002  1 
000001000000000020  1 
000001000000000020  1 
000001000000000020  1 
000001000000000020  1 
000001000000000020  1 
000001000000000020  1 
000001000000000022  1 
000001000000000022  1 
000001000000000022  1 
000001000000000200  1 
000001000000000200  1 
000001000000000200  1 
000001000000000200  1 
000001000000000200  1 
000001000000000200  1 
000001000000000200  1 
000001000000000200  1 
000001000000000202  1 
000001000000000202  1 
000001000000000202  1 
000001000000000220  1 
000001000000000220  1 
000001000000000222  1 
000001000000000222  1 
000001000000002000  1 
000001000000002000  1 
000001000000002000  1 
000001000000002000  1 
000001000000002000  1 
000001000000002000  1 
000001000000002000  1 
000001000000002000  1 
000001000000002000  1 
000001000000002000  1 
000001000000002000  1 
000001000000002000  1 
000001000000002000  1 
000001000000002000  1 
000001000000002000  1 
000001000000002000  1 
000001000000002000  1 
000001000000002000  1 
000001000000002000  1 
000001000000002002  1 
000001000000002002  1 
000001000000002002  1 
000001000000002002  1 
000001000000002002  1 
000001000000002002  1 
000001000000002020  1 
000001000000002020  1 
000001000000002020  1 
000001000000002020  1 
000001000000002020  1 
000001000000002020  1 
000001000000002022  1 
000001000000002022  1 
000001000000002022  1 
000001000000002200  1 
000001000000002200  1 
000001000000002202  1 
000001000000002202  1 
000001000000002202  1 
000001000000002202  1 
000001000000002202  1 
000001000000002220  1 
000001000000002222  1 
000001000000002222  1 
000001000000002222  1 
000001000000002222  1 
000001000000002222  1 
000001000000020000  1 
000001000000020000  1 
000001000000020000  1 
000001000000020002  1 
000001000000020002  1 
000001000000020020  1 
000001000000020020  1 
000001000000020200  1 
000001000000020200  1 
000001000000020220  1 
000001000000022000  1 
000001000000022000  1 
000001000000022000  1 
000001000000022000  1 
000001000000022000  1 
000001000000022000  1 
000001000000022000  1 
000001000000022002  1 
000001000000022002  1 
000001000000022002  1 
000001000000022020  1 
000001000000022022  1 
000001000000022200  1 
000001000000022200  1 
000001000000022200  1 
000001000000022200  1 
000001000000022202  1 
000001000000022202  1 
000001000000022202  1 
000001000000022202  1 
000001000000022202  1 
